,날짜,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,마늘가격,마늘거래량,마늘생산량,마늘저장이월량,마늘수입량,마늘수입금액,마늘재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가
97,2014-04-11,0.1,1.0,12.3,17.8,7.8,62,16,1.7,9.4,2421.733527,24.06,353760,0,52810,30417,25062,2198.85,1876.74,1690.21,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
98,2014-04-12,0.1,10.0,13.4,18.1,9.4,66,19,1.4,7.9,2392.929816,19.52,353760,0,52810,30417,25062,2198.31,1876.56,1689.76,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
99,2014-04-13,2.4,22.0,13.5,19.3,8.5,68,11,1.8,11.0,2356.366592,25.17,353760,0,52810,30417,25062,2198.09,1876.4,1689.51,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
100,2014-04-14,0.0,0.0,13.7,22.5,5.0,53,11,1.9,9.2,2319.803368,30.82,353760,0,52810,30417,25062,2198.67,1876.29,1689.5,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
101,2014-04-15,0.0,0.0,16.0,23.6,7.5,57,15,2.4,11.3,2639.239638,31.92,353760,0,52810,30417,25062,2200.45,1876.08,1689.05,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
102,2014-04-16,0.0,2.4,16.3,23.0,11.0,60,12,2.0,9.8,2264.972829,30.36,353760,0,52810,30417,25062,2200.91,1876.0,1688.75,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
103,2014-04-17,12.5,34.0,13.4,20.5,7.7,68,8,1.8,11.2,2249.141,30.31,353760,0,52810,30417,25062,2199.84,1875.81,1688.45,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
104,2014-04-18,0.7,6.0,13.5,18.4,10.2,76,16,1.9,8.9,2003.393512,31.63,353760,0,52810,30417,25062,2198.47,1875.46,1688.07,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
105,2014-04-19,0.0,4.8,12.5,16.3,9.1,61,27,2.7,11.7,2464.8935260000003,21.04,353760,0,52810,30417,25062,2199.18,1875.24,1687.74,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
106,2014-04-20,0.0,8.0,13.6,19.9,8.5,56,23,2.2,10.2,2463.2541485,30.465,353760,0,52810,30417,25062,2199.37,1875.18,1687.52,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
107,2014-04-21,0.0,0.0,15.0,21.9,8.3,56,12,2.0,11.2,2461.614771,39.89,353760,0,52810,30417,25062,2198.79,1875.0,1687.49,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
108,2014-04-22,0.0,0.0,14.9,22.0,8.6,47,10,1.9,9.7,2281.848501,26.09,353760,0,52810,30417,25062,2199.14,1874.74,1687.09,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
109,2014-04-23,0.0,0.0,15.4,24.2,6.7,48,8,1.7,9.2,2631.641637,31.91,353760,0,52810,30417,25062,2200.36,1874.35,1686.66,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
110,2014-04-24,0.0,0.0,16.6,25.2,8.5,48,10,1.6,8.1,2301.7637670000004,26.93,353760,0,52810,30417,25062,2200.0,1874.04,1686.41,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
111,2014-04-25,0.0,0.0,17.1,25.8,8.4,43,11,1.5,8.6,2222.2249030000003,32.74,353760,0,52810,30417,25062,2200.43,1873.72,1686.13,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
112,2014-04-26,0.0,6.5,17.1,23.7,9.8,50,13,1.6,10.7,2324.1290879999997,33.73,353760,0,52810,30417,25062,2199.92,1873.59,1685.95,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
113,2014-04-27,12.1,74.5,15.6,18.8,13.3,78,23,1.8,17.2,2364.4671455,32.239999999999995,353760,0,52810,30417,25062,2200.29,1873.38,1685.49,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
114,2014-04-28,27.2,110.5,13.6,15.4,12.4,88,44,3.0,12.9,2404.805203,30.75,353760,0,52810,30417,25062,2199.77,1873.29,1685.52,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
115,2014-04-29,23.2,180.4,14.2,17.0,12.1,85,1,2.4,12.7,2249.946743,33.05,353760,0,52810,30417,25062,2199.62,1873.17,1685.42,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
