날짜,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,대파거래량,대파생산량,대파저장이월량,대파수입량,대파수입금액,대파재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가,대파가격
2017-12-21,0,0.5,-0.1,5.8,-4.8,65,12,1.6,11.4,370.14,378827,0,11814,62005,13122,1856.41,1541.99,1334.31,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1265.538832
2017-12-22,0,0,1.7,8.5,-4.3,68,27,1.4,10,374.37,378827,0,11814,62005,13122,1856.79,1542.3,1334.57,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1206.114582
2017-12-23,0,0,3.9,11,-1.1,75,20,1.1,9.4,405.25,378827,0,11814,62005,13122,1856.14,1542.58,1334.72,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1123.044286
2017-12-25,0,3.5,0.2,3.5,-2.7,49,13,3.1,22.5,398.07,378827,0,11814,62005,13122,1856.93,1542.87,1334.85,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1136.92386
2017-12-26,0.1,1.9,-0.6,4.1,-4.9,51,12,3.1,15.1,345.67,378827,0,11814,62005,13122,1856.32,1542.99,1335.22,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1094.105487
2017-12-27,0,1,-3.9,0.7,-8,38,7,2.7,15.9,309.19,378827,0,11814,62005,13122,1855.9,1543.24,1335.45,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1185.884723
2017-12-28,0,0,-1.5,3.7,-6.9,52,13,1.5,9.2,333.36,378827,0,11814,62005,13122,1855.74,1543.52,1335.82,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1265.049286
2017-12-29,0,0.3,2.9,8,-2.1,70,31,1.7,11.9,348.6,378827,0,11814,62005,13122,1855.82,1543.74,1335.98,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1435.846613
2017-12-30,0.6,5.9,2.9,7.1,-1.6,77,35,1,13.6,413.27,378827,0,11814,62005,13122,1856.28,1543.99,1336.12,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1867.809272
2018-01-02,0,0,0.2,5.8,-5.3,57,14,1.8,11,7.14,343869,0,13128,82618,12115,1855.84,1544.93,1337.13,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1488.225897
2018-01-03,0,3.8,-1.6,2.8,-5.3,46,13,2.4,12.1,665.1,343869,0,13128,82618,12115,1857.61,1545.28,1337.44,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1242.09019
2018-01-04,0,5,-1.7,2.3,-5.6,51,12,1.6,10.9,386.06,343869,0,13128,82618,12115,1857.49,1545.57,1337.83,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1475.225381
2018-01-05,0,4.5,-0.1,4.7,-3.4,54,10,2,16.2,404.52,343869,0,13128,82618,12115,1857.6,1546.36,1338.72,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1464.121034
2018-01-06,0,1.9,-0.7,5.5,-5.4,54,15,2,15.9,397.2,343869,0,13128,82618,12115,1857.36,1546.89,1339.14,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1553.415558
2018-01-08,2.4,10.5,2.3,4.8,0.1,76,17,2,21.2,499.11,343869,0,13128,82618,12115,1856.8,1547.49,1339.89,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1535.558712
